Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2024-06-17,446.6692199707031,448.3699951171875,450.94000244140625,440.7200012207031,442.5899963378906,20790000
2024-06-18,444.6469421386719,446.3399963378906,450.1400146484375,444.8900146484375,449.7099914550781,17112500
2024-06-20,444.0093688964844,445.70001220703125,446.5299987792969,441.2699890136719,446.29998779296875,19877400
2024-06-21,448.0738830566406,449.7799987792969,450.5799865722656,446.510009765625,447.3800048828125,34486200
2024-06-24,445.971923828125,447.6700134277344,452.75,446.4100036621094,449.79998779296875,15913700
2024-06-25,449.23944091796875,450.95001220703125,451.4200134277344,446.75,448.25,16747500
2024-06-26,450.4448547363281,452.1600036621094,453.6000061035156,448.19000244140625,449.0,16507000
2024-06-27,451.1322326660156,452.8500061035156,456.1700134277344,451.7699890136719,452.17999267578125,14806300
2024-06-28,445.254638671875,446.95001220703125,455.3800048828125,446.4100036621094,453.07000732421875,28362300
2024-07-01,454.9975280761719,456.7300109863281,457.3699951171875,445.6600036621094,448.6600036621094,17662800
2024-07-02,457.537841796875,459.2799987792969,459.5899963378906,453.1099853515625,453.20001220703125,13979800
2024-07-03,459.0221862792969,460.7699890136719,461.0199890136719,457.8800048828125,458.19000244140625,9932800
2024-07-05,465.78643798828125,467.55999755859375,468.3500061035156,458.9700012207031,459.6099853515625,16000300
2024-07-08,464.471435546875,466.239990234375,467.70001220703125,464.4599914550781,466.54998779296875,12962300
2024-07-09,457.796875,459.5400085449219,467.3299865722656,458.0,467.0,17207200
2024-07-10,464.4814147949219,466.25,466.4599914550781,458.8599853515625,461.2200012207031,18196100
2024-07-11,452.9752197265625,454.70001220703125,464.7799987792969,451.54998779296875,462.9800109863281,23111200
2024-07-12,451.8295593261719,453.54998779296875,456.3599853515625,450.6499938964844,454.3299865722656,16324300
2024-07-15,452.238037109375,453.9599914550781,457.260009765625,451.42999267578125,453.29998779296875,14429400
2024-07-16,447.81488037109375,449.5199890136719,454.29998779296875,446.6600036621094,454.2200012207031,17175700
2024-07-17,441.8376159667969,443.5199890136719,444.8500061035156,439.17999267578125,442.5899963378906,21778000
2024-07-18,438.6995849609375,440.3699951171875,444.6499938964844,434.3999938964844,444.3399963378906,20794800
2024-07-19,435.4519348144531,437.1099853515625,441.1400146484375,432.0,433.1000061035156,20940400
2024-07-22,441.25982666015625,442.94000244140625,444.6000061035156,438.9100036621094,441.7900085449219,15808800
2024-07-23,443.16259765625,444.8500061035156,448.3900146484375,443.1000061035156,443.8999938964844,13107100
2024-07-24,427.2730712890625,428.8999938964844,441.4800109863281,427.5899963378906,440.45001220703125,26805800
2024-07-25,416.8128967285156,418.3999938964844,429.79998779296875,417.510009765625,428.79998779296875,29943800
2024-07-26,423.6568298339844,425.2699890136719,428.9200134277344,417.2699890136719,418.20001220703125,23583800
2024-07-29,425.111328125,426.7300109863281,432.1499938964844,424.70001220703125,431.5799865722656,15125800
2024-07-30,421.3157958984375,422.9200134277344,429.04998779296875,417.3599853515625,427.7200012207031,32687600
2024-07-31,416.76312255859375,418.3500061035156,421.7799987792969,412.2099914550781,420.5,42891400
2024-08-01,415.5278015136719,417.1099853515625,427.4599914550781,413.0899963378906,420.7900085449219,30296400
2024-08-02,406.94049072265625,408.489990234375,415.0,404.3399963378906,412.489990234375,29437900
2024-08-05,393.6510925292969,395.1499938964844,401.0400085449219,385.5799865722656,389.1700134277344,40709200
2024-08-06,398.09417724609375,399.6099853515625,405.6700134277344,398.5,400.0,24946500
2024-08-07,396.9186706542969,398.42999267578125,410.0799865722656,397.4700012207031,408.6400146484375,20650900
2024-08-08,401.1625061035156,402.69000244140625,405.8599853515625,399.94000244140625,402.44000244140625,20203000
2024-08-09,404.4798583984375,406.0199890136719,408.04998779296875,402.260009765625,404.0299987792969,19276700
2024-08-12,405.2668762207031,406.80999755859375,408.760009765625,404.239990234375,407.05999755859375,16762900
2024-08-13,412.4395751953125,414.010009765625,414.95001220703125,409.57000732421875,409.5899963378906,19414300
2024-08-14,415.27874755859375,416.8599853515625,417.7200012207031,412.45001220703125,414.79998779296875,18267000
2024-08-15,420.1889343261719,421.0299987792969,421.1099853515625,417.6600036621094,419.79998779296875,20752100
2024-08-16,417.634033203125,418.4700012207031,421.3399963378906,417.29998779296875,420.6000061035156,22775600
2024-08-19,420.68792724609375,421.5299987792969,421.75,416.4599914550781,418.9599914550781,15234000
2024-08-20,423.9513854980469,424.79998779296875,425.8599853515625,421.6400146484375,421.70001220703125,16387600
2024-08-21,423.292724609375,424.1400146484375,426.3999938964844,421.7200012207031,424.0799865722656,16067300
2024-08-22,414.7198791503906,415.54998779296875,426.7900085449219,414.6099853515625,424.3599853515625,19361900
2024-08-23,415.9573974609375,416.7900085449219,419.260009765625,412.0899963378906,416.9800109863281,18493800
2024-08-26,412.6639709472656,413.489990234375,417.2799987792969,411.3399963378906,416.3699951171875,13152800
2024-08-27,413.0132751464844,413.8399963378906,414.3599853515625,410.25,412.8599853515625,13492900
2024-08-28,409.77978515625,410.6000061035156,415.0,407.30999755859375,414.8800048828125,14882700
2024-08-29,412.29473876953125,413.1199951171875,422.04998779296875,410.6000061035156,414.94000244140625,17045200
2024-08-30,416.30670166015625,417.1400146484375,417.489990234375,412.1300048828125,415.6000061035156,24308300
2024-09-03,408.6220703125,409.44000244140625,419.8800048828125,407.0299987792969,417.9100036621094,20313600
2024-09-04,408.0831604003906,408.8999938964844,411.239990234375,404.3699951171875,405.9100036621094,15135800
2024-09-05,407.5741882324219,408.3900146484375,413.1000061035156,406.1300048828125,407.6199951171875,14195500
2024-09-06,400.8975524902344,401.70001220703125,410.6499938964844,400.79998779296875,409.05999755859375,19609500
2024-09-09,404.9095153808594,405.7200012207031,408.6499938964844,402.1499938964844,407.239990234375,15295100
2024-09-10,413.3725891113281,414.20001220703125,416.3299865722656,407.70001220703125,408.20001220703125,19594300
2024-09-11,422.1949157714844,423.0400085449219,423.989990234375,409.5799865722656,415.5,19266900
2024-09-12,426.1470031738281,427.0,427.3699951171875,419.75,423.30999755859375,17418800
2024-09-13,429.7298278808594,430.5899963378906,431.8299865722656,425.4599914550781,425.8299865722656,15874600
2024-09-16,430.47833251953125,431.3399963378906,433.5299987792969,428.2200012207031,430.6000061035156,13834700
2024-09-17,434.2807312011719,435.1499938964844,441.8500061035156,432.2699890136719,440.2300109863281,18874200
2024-09-18,429.94940185546875,430.80999755859375,436.0299987792969,430.4100036621094,435.0,18898000
2024-09-19,437.81365966796875,438.69000244140625,441.5,436.8999938964844,441.2300109863281,21706600
2024-09-20,434.4004821777344,435.2699890136719,439.239990234375,434.2200012207031,437.2200012207031,55167100
2024-09-23,432.6440124511719,433.510009765625,436.4599914550781,430.3900146484375,434.2799987792969,15128900
2024-09-24,428.31268310546875,429.1700134277344,433.3500061035156,426.1000061035156,433.0,17015800
2024-09-25,431.2467956542969,432.1099853515625,433.1199951171875,428.57000732421875,429.8299865722656,13396400
2024-09-26,430.4483947753906,431.30999755859375,435.29998779296875,429.1300048828125,435.0899963378906,14492000
2024-09-27,427.1649475097656,428.0199890136719,431.8500061035156,427.4700012207031,431.5199890136719,14896100
2024-09-30,429.4403991699219,430.29998779296875,430.4200134277344,425.3699951171875,428.2099914550781,16807300
2024-10-01,419.849609375,420.69000244140625,428.4800109863281,418.80999755859375,428.45001220703125,19092900
2024-10-02,416.2967224121094,417.1300048828125,422.82000732421875,416.7099914550781,422.5799865722656,16582300
2024-10-03,415.7079162597656,416.5400085449219,419.54998779296875,414.2900085449219,417.6300048828125,13686400
2024-10-04,415.2288513183594,416.05999755859375,419.75,414.9700012207031,418.239990234375,19169700
2024-10-07,408.7218933105469,409.5400085449219,417.1099853515625,409.0,416.0,20919800
2024-10-08,413.8815612792969,414.7099914550781,415.6600036621094,408.1700134277344,410.8999938964844,19229300
2024-10-09,416.62603759765625,417.4599914550781,420.3800048828125,414.29998779296875,415.8599853515625,14974300
2024-10-10,415.0093078613281,415.8399963378906,417.3500061035156,413.1499938964844,415.2300109863281,13848400
2024-10-11,415.48834228515625,416.32000732421875,417.1300048828125,413.25,416.1400146484375,14144900
2024-10-14,418.302734375,419.1400146484375,424.0400085449219,417.5199890136719,417.7699890136719,16653100
2024-10-15,417.90350341796875,418.739990234375,422.4800109863281,415.260009765625,422.17999267578125,18900200
2024-10-16,415.2887268066406,416.1199951171875,416.3599853515625,410.4800109863281,415.1700134277344,15508900
2024-10-17,415.8875427246094,416.7200012207031,422.5,415.5899963378906,422.3599853515625,14820000
2024-10-18,417.3246765136719,418.1600036621094,419.6499938964844,416.260009765625,417.1400146484375,17145300
2024-10-21,417.94342041015625,418.7799987792969,418.9599914550781,413.75,416.1199951171875,14206100
2024-10-22,426.656005859375,427.510009765625,430.5799865722656,418.0400085449219,418.489990234375,25482200
2024-10-23,423.7518005371094,424.6000061035156,431.0799865722656,422.5299987792969,430.8599853515625,19654400
2024-10-24,423.8815612792969,424.7300109863281,425.9800109863281,422.3999938964844,425.3299865722656,13581600
2024-10-25,427.2947082519531,428.1499938964844,432.5199890136719,426.57000732421875,426.760009765625,16899100
2024-10-28,425.7378234863281,426.5899963378906,431.94000244140625,426.29998779296875,431.6600036621094,14882400
2024-10-29,431.0871276855469,431.95001220703125,433.1700134277344,425.79998779296875,428.0,17644100
2024-10-30,431.66595458984375,432.5299987792969,438.5,432.1000061035156,437.44000244140625,29749100
2024-10-31,405.53826904296875,406.3500061035156,416.1600036621094,406.29998779296875,415.3599853515625,53971000
2024-11-01,409.55023193359375,410.3699951171875,415.5,407.5,409.010009765625,24230400
2024-11-04,407.64404296875,408.4599914550781,410.4200134277344,405.57000732421875,409.79998779296875,19672300
2024-11-05,410.6380310058594,411.4599914550781,414.8999938964844,408.0799865722656,408.3699951171875,17626000
2024-11-06,419.3406066894531,420.17999267578125,420.45001220703125,410.5199890136719,412.4200134277344,26681800
2024-11-07,424.58013916015625,425.42999267578125,426.8500061035156,419.8800048828125,421.2799987792969,19901800
2024-11-08,421.6959228515625,422.5400085449219,426.5,421.7799987792969,425.32000732421875,16891400
2024-11-11,417.1749572753906,418.010009765625,424.80999755859375,416.0,422.5199890136719,24503300
2024-11-12,422.1849365234375,423.0299987792969,424.44000244140625,417.20001220703125,418.25,19401200
2024-11-13,424.3506164550781,425.20001220703125,429.3299865722656,418.2099914550781,421.6400146484375,21502200
2024-11-14,426.0372314453125,426.8900146484375,428.1700134277344,420.0,425.0,30246900
2024-11-15,414.1709899902344,415.0,422.79998779296875,413.6400146484375,419.82000732421875,28247600
2024-11-18,414.9294738769531,415.760009765625,418.3999938964844,412.1000061035156,414.8699951171875,24742000
2024-11-19,416.9554138183594,417.7900085449219,417.94000244140625,411.54998779296875,413.1099853515625,18133500
2024-11-20,414.65997314453125,415.489990234375,417.2900085449219,410.5799865722656,416.8699951171875,19191700
2024-11-21,412.8699951171875,412.8699951171875,419.7799987792969,410.2900085449219,419.5,20780200
2024-11-22,417.0,417.0,417.3999938964844,411.05999755859375,411.3699951171875,24814600
2024-11-25,418.7900085449219,418.7900085449219,421.0799865722656,414.8500061035156,418.3800048828125,27691100
2024-11-26,427.989990234375,427.989990234375,429.0400085449219,418.8500061035156,419.5899963378906,23458900
2024-11-27,422.989990234375,422.989990234375,427.2300109863281,422.0199890136719,425.1099853515625,18332400
2024-11-29,423.4599914550781,423.4599914550781,424.8800048828125,417.79998779296875,420.0899963378906,16271900
2024-12-02,430.9800109863281,430.9800109863281,433.0,421.30999755859375,421.57000732421875,20207200
2024-12-03,431.20001220703125,431.20001220703125,432.4700012207031,427.739990234375,429.8399963378906,18302000
2024-12-04,437.4200134277344,437.4200134277344,439.6700134277344,432.6300048828125,433.0299987792969,26009400
2024-12-05,442.6199951171875,442.6199951171875,444.6600036621094,436.1700134277344,437.9200134277344,21697800
2024-12-06,443.57000732421875,443.57000732421875,446.1000061035156,441.7699890136719,442.29998779296875,18821000
2024-12-09,446.0199890136719,446.0199890136719,448.3299865722656,440.5,442.6000061035156,19144400
2024-12-10,443.3299865722656,443.3299865722656,449.6199951171875,441.6000061035156,444.3900146484375,18469500
2024-12-11,448.989990234375,448.989990234375,450.3500061035156,444.04998779296875,444.04998779296875,19200200
2024-12-12,449.55999755859375,449.55999755859375,456.1600036621094,449.1099853515625,449.1099853515625,20834800
2024-12-13,447.2699890136719,447.2699890136719,451.42999267578125,445.5799865722656,448.44000244140625,20172200
